"","CDS","Name","Subgroup","Year","NumCohort","NumGrad","GradRate"
"1","NA","State Average","All",6,48861,40195,0.8227
"2","NA","State Average","Asian",6,44125,40843,0.9256
"3","NA","State Average","Black",6,33540,23728,0.7075
"4","NA","State Average","Latino",6,24953,19596,0.7853
"5","NA","State Average","White",6,12886,11336,0.8798
"6","NA","State Average","SE",6,56045,36158,0.6452
"7","NA","State Average","MIG",6,7998,6457,0.8073
"8","NA","State Average","EL",6,93384,64799,0.6939
"9","NA","State Average","SD",6,32814,25484,0.7766
"10","NA","State Average","FEM",6,23823,20508,0.8609
"11","NA","State Average","MAL",6,25038,19686,0.7863
"12","10621170000000","Clovis Unified","All",6,2901,2744,0.9459
"13","10621170000000","Clovis Unified","EL",6,163,144,0.8834
"14","10621170000000","Clovis Unified","FEM",6,1461,1407,0.963
"15","10621170000000","Clovis Unified","MAL",6,1440,1337,0.9285
"16","10621170000000","Clovis Unified","MIG",6,37,34,0.9189
"17","10621170000000","Clovis Unified","SD",6,1297,1180,0.9098
"18","10621170000000","Clovis Unified","SE",6,183,126,0.6885
"19","10621170000000","Clovis Unified","Asian",6,375,361,0.9627
"20","10621170000000","Clovis Unified","Latino",6,912,845,0.9265
"21","10621170000000","Clovis Unified","Black",6,96,89,0.9271
"22","10621170000000","Clovis Unified","White",6,1347,1290,0.9577
"23","10621250000000","Coalinga-Huron Unified","All",6,318,251,0.7893
"24","10621250000000","Coalinga-Huron Unified","EL",6,175,127,0.7257
"25","10621250000000","Coalinga-Huron Unified","FEM",6,147,120,0.8163
"26","10621250000000","Coalinga-Huron Unified","MAL",6,171,131,0.7661
"27","10621250000000","Coalinga-Huron Unified","MIG",6,37,28,0.7568
"28","10621250000000","Coalinga-Huron Unified","SD",6,279,219,0.7849
"29","10621250000000","Coalinga-Huron Unified","SE",6,27,11,0.4074
"30","10621250000000","Coalinga-Huron Unified","Asian",6,NA,NA,0.8
"31","10621250000000","Coalinga-Huron Unified","Latino",6,266,211,0.7932
"32","10621250000000","Coalinga-Huron Unified","Black",6,NA,NA,1
"33","10621250000000","Coalinga-Huron Unified","White",6,43,33,0.7674
"34","10621580000000","Fowler Unified","All",6,183,173,0.9454
"35","10621580000000","Fowler Unified","EL",6,51,47,0.9216
"36","10621580000000","Fowler Unified","FEM",6,87,82,0.9425
"37","10621580000000","Fowler Unified","MAL",6,96,91,0.9479
"38","10621580000000","Fowler Unified","MIG",6,11,NA,0.9091
"39","10621580000000","Fowler Unified","SD",6,159,149,0.9371
"40","10621580000000","Fowler Unified","SE",6,13,11,0.8462
"41","10621580000000","Fowler Unified","Asian",6,17,17,1
"42","10621580000000","Fowler Unified","Latino",6,141,132,0.9362
"43","10621580000000","Fowler Unified","Black",6,NA,NA,1
"44","10621580000000","Fowler Unified","White",6,22,21,0.9545
"45","10621660000000","Fresno Unified","All",6,4444,3726,0.8384
"46","10621660000000","Fresno Unified","EL",6,904,689,0.7622
"47","10621660000000","Fresno Unified","FEM",6,2180,1940,0.8899
"48","10621660000000","Fresno Unified","MAL",6,2264,1786,0.7889
"49","10621660000000","Fresno Unified","MIG",6,166,136,0.8193
"50","10621660000000","Fresno Unified","SD",6,4073,3373,0.8281
"51","10621660000000","Fresno Unified","SE",6,492,284,0.5772
"52","10621660000000","Fresno Unified","Asian",6,649,590,0.9091
"53","10621660000000","Fresno Unified","Latino",6,2725,2243,0.8231
"54","10621660000000","Fresno Unified","Black",6,476,391,0.8214
"55","10621660000000","Fresno Unified","White",6,501,422,0.8423
"56","10622570000000","Kingsburg Joint Union High","All",6,279,252,0.9032
"57","10622570000000","Kingsburg Joint Union High","EL",6,32,25,0.7813
"58","10622570000000","Kingsburg Joint Union High","FEM",6,134,128,0.9552
"59","10622570000000","Kingsburg Joint Union High","MAL",6,145,124,0.8552
"60","10622570000000","Kingsburg Joint Union High","MIG",6,NA,NA,0
"61","10622570000000","Kingsburg Joint Union High","SD",6,151,128,0.8477
"62","10622570000000","Kingsburg Joint Union High","SE",6,26,20,0.7692
"63","10622570000000","Kingsburg Joint Union High","Asian",6,11,11,1
"64","10622570000000","Kingsburg Joint Union High","Latino",6,153,135,0.8824
"65","10622570000000","Kingsburg Joint Union High","White",6,102,95,0.9314
"66","10622650000000","Kings Canyon Joint Unified","All",6,635,596,0.9386
"67","10622650000000","Kings Canyon Joint Unified","EL",6,113,98,0.8673
"68","10622650000000","Kings Canyon Joint Unified","FEM",6,314,297,0.9459
"69","10622650000000","Kings Canyon Joint Unified","MAL",6,321,299,0.9315
"70","10622650000000","Kings Canyon Joint Unified","MIG",6,40,38,0.95
"71","10622650000000","Kings Canyon Joint Unified","SD",6,631,593,0.9398
"72","10622650000000","Kings Canyon Joint Unified","SE",6,39,31,0.7949
"73","10622650000000","Kings Canyon Joint Unified","Asian",6,NA,NA,1
"74","10622650000000","Kings Canyon Joint Unified","Latino",6,523,491,0.9388
"75","10622650000000","Kings Canyon Joint Unified","Black",6,NA,NA,1
"76","10622650000000","Kings Canyon Joint Unified","White",6,81,75,0.9259
"77","10622810000000","Laton Joint Unified","All",6,49,36,0.7347
"78","10622810000000","Laton Joint Unified","EL",6,11,NA,0.6364
"79","10622810000000","Laton Joint Unified","FEM",6,27,22,0.8148
"80","10622810000000","Laton Joint Unified","MAL",6,22,14,0.6364
"81","10622810000000","Laton Joint Unified","MIG",6,NA,NA,0
"82","10622810000000","Laton Joint Unified","SD",6,40,28,0.7
"83","10622810000000","Laton Joint Unified","SE",6,NA,NA,0.75
